size(bytes),time(ns),Threads,Stride,StrideSize,
64,2.49366,8,no,64,
128,2.53181,8,no,64,
256,2.64054,8,no,64,
512,2.53072,8,no,64,
1024,2.51013,8,no,64,
2048,2.5204,8,no,64,
4096,2.55026,8,no,64,
8192,2.50983,8,no,64,
16384,2.53575,8,no,64,
32768,2.88567,8,no,64,
65536,3.78787,8,no,64,
131072,4.61383,8,no,64,
262144,6.57713,8,no,64,
524288,10.2222,8,no,64,
1048576,17.243,8,no,64,
2097152,43.0082,8,no,64,
4194304,61.3894,8,no,64,
8388608,78.4823,8,no,64,
16777216,85.5347,8,no,64,
33554432,87.6931,8,no,64,
67108864,85.8342,8,no,64,
