size(bytes),time(ns),Threads,Stride,StrideSize,
64,6.72204,16,no,64,
128,7.07905,16,no,64,
256,7.33738,16,no,64,
512,6.78944,16,no,64,
1024,6.89006,16,no,64,
2048,6.85788,16,no,64,
4096,6.88266,16,no,64,
8192,7.24329,16,no,64,
16384,7.21699,16,no,64,
32768,8.42044,16,no,64,
65536,9.36364,16,no,64,
131072,12.7912,16,no,64,
262144,16.4032,16,no,64,
524288,20.5913,16,no,64,
1048576,61.0987,16,no,64,
2097152,108.877,16,no,64,
4194304,141.196,16,no,64,
8388608,165.647,16,no,64,
16777216,171.71,16,no,64,
33554432,169.167,16,no,64,
67108864,170.829,16,no,64,
